"pathway","stat","p_perm","p_adj_BH","p_adj_wy","n_spots"
"HALLMARK_ADIPOGENESIS",0.0653180840942714,0.001,0.00189873417721519,0.001,4218
"HALLMARK_ALLOGRAFT_REJECTION",0.0983948278798074,0.001,0.00189873417721519,0.001,4218
"HALLMARK_ANDROGEN_RESPONSE",0.0998545733220915,0.001,0.00189873417721519,0.001,4218
"HALLMARK_ANGIOGENESIS",0.0616436361028442,0.001,0.00189873417721519,0.001,4218
"HALLMARK_APICAL_JUNCTION",0.0827795466563511,0.001,0.00189873417721519,0.001,4218
"HALLMARK_APICAL_SURFACE",0.0232653493235954,0.005,0.0076530612244898,0.47,4218
"HALLMARK_APOPTOSIS",0.0812987257584005,0.001,0.00189873417721519,0.001,4218
"HALLMARK_BILE_ACID_METABOLISM",0.0118127990247344,0.079,0.102155172413793,1,4218
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.0845282318535265,0.001,0.00189873417721519,0.001,4218
"HALLMARK_COAGULATION",0.103457628794683,0.001,0.00189873417721519,0.001,4218
"HALLMARK_COMPLEMENT",0.0622432207244792,0.001,0.00189873417721519,0.001,4218
"HALLMARK_DNA_REPAIR",0.0448341235497198,0.001,0.00189873417721519,0.001,4218
"HALLMARK_E2F_TARGETS",0.06246130545413,0.001,0.00189873417721519,0.001,4218
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.185991367487975,0.001,0.00189873417721519,0.001,4218
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.187632890246782,0.001,0.00189873417721519,0.001,4218
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.136545665477239,0.001,0.00189873417721519,0.001,4218
"HALLMARK_FATTY_ACID_METABOLISM",0.0641598103055162,0.001,0.00189873417721519,0.001,4218
"HALLMARK_G2M_CHECKPOINT",0.0824636742366393,0.001,0.00189873417721519,0.001,4218
"HALLMARK_GLYCOLYSIS",0.0541886126610566,0.001,0.00189873417721519,0.001,4218
"HALLMARK_HEDGEHOG_SIGNALING",0.0106966378662001,0.109,0.134016393442623,1,4218
"HALLMARK_HEME_METABOLISM",0.0260320171692607,0.001,0.00189873417721519,0.227,4218
"HALLMARK_HYPOXIA",0.0389237800332342,0.001,0.00189873417721519,0.002,4218
"HALLMARK_IL2_STAT5_SIGNALING",0.0912399945419461,0.001,0.00189873417721519,0.001,4218
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.0298623377070708,0.001,0.00189873417721519,0.05,4218
"HALLMARK_INFLAMMATORY_RESPONSE",0.0433563867243797,0.001,0.00189873417721519,0.001,4218
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.168491696134298,0.001,0.00189873417721519,0.001,4218
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.16994584464202,0.001,0.00189873417721519,0.001,4218
"HALLMARK_KRAS_SIGNALING_DN",0.0142135432259697,0.052,0.068421052631579,1,4218
"HALLMARK_KRAS_SIGNALING_UP",0.0250350851041216,0.003,0.00494505494505494,0.298,4218
"HALLMARK_MITOTIC_SPINDLE",0.0848416356787764,0.001,0.00189873417721519,0.001,4218
"HALLMARK_MTORC1_SIGNALING",0.107868091895366,0.001,0.00189873417721519,0.001,4218
