"pathway","stat","p_perm","p_adj_BH","p_adj_wy","n_spots"
"HALLMARK_ADIPOGENESIS",0.00633337649473965,0.22,0.586875,1,3659
"HALLMARK_ALLOGRAFT_REJECTION",0.0347283487768693,0.002,0.075,0.025,3659
"HALLMARK_ANDROGEN_RESPONSE",0.00383704751967552,0.365,0.659638554216867,1,3659
"HALLMARK_ANGIOGENESIS",0.00546677217974796,0.269,0.586875,1,3659
"HALLMARK_APICAL_JUNCTION",-0.00148051101219911,0.573,0.788495575221239,1,3659
"HALLMARK_APICAL_SURFACE",-0.0123649856881274,0.891,0.927739726027397,1,3659
"HALLMARK_APOPTOSIS",0.00457144587879191,0.299,0.586875,1,3659
"HALLMARK_BILE_ACID_METABOLISM",0.00281728462448006,0.34,0.621951219512195,1,3659
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",-0.00297532773887902,0.625,0.800847457627119,1,3659
"HALLMARK_COAGULATION",0.0315741111494306,0.001,0.075,0.077,3659
"HALLMARK_COMPLEMENT",0.010902486006295,0.129,0.586875,1,3659
"HALLMARK_DNA_REPAIR",0.00577543711637923,0.251,0.586875,1,3659
"HALLMARK_E2F_TARGETS",-0.00610135077217194,0.719,0.8628,1,3659
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.0425133986730375,0.001,0.075,0.003,3659
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.0222665629125264,0.014,0.204545454545455,0.761,3659
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.00875320928128571,0.163,0.586875,1,3659
"HALLMARK_FATTY_ACID_METABOLISM",0.00834729239302653,0.174,0.586875,1,3659
"HALLMARK_G2M_CHECKPOINT",0.000191311874980221,0.484,0.740816326530612,1,3659
"HALLMARK_GLYCOLYSIS",0.0178434038565088,0.04,0.315,0.988,3659
"HALLMARK_HEDGEHOG_SIGNALING",0.00513325143811883,0.283,0.586875,1,3659
"HALLMARK_HEME_METABOLISM",0.0108165768368123,0.12,0.586875,1,3659
"HALLMARK_HYPOXIA",0.0192551093682098,0.023,0.265384615384615,0.96,3659
"HALLMARK_IL2_STAT5_SIGNALING",-0.000777071527843486,0.513,0.761881188118812,1,3659
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.0157923898523148,0.047,0.334090909090909,0.999,3659
"HALLMARK_INFLAMMATORY_RESPONSE",-0.00220013111804244,0.552,0.788495575221239,1,3659
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.020121119826359,0.019,0.2375,0.918,3659
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.0312026599098513,0.006,0.15,0.088,3659
"HALLMARK_KRAS_SIGNALING_DN",-0.000575288385907165,0.537,0.774519230769231,1,3659
"HALLMARK_KRAS_SIGNALING_UP",0.00738208197282267,0.251,0.586875,1,3659
"HALLMARK_MITOTIC_SPINDLE",0.00642315514300125,0.217,0.586875,1,3659
"HALLMARK_MTORC1_SIGNALING",0.00621912314881913,0.222,0.586875,1,3659
"HALLMARK_MYC_TARGETS_V1",0.00464861108916018,0.288,0.586875,1,3659
"HALLMARK_MYC_TARGETS_V2",0.0252058266095941,0.008,0.171428571428571,0.442,3659
"HALLMARK_MYOGENESIS",0.0169119740547892,0.032,0.3,0.994,3659
"HALLMARK_NOTCH_SIGNALING",-0.00830846111463972,0.835,0.925367647058824,1,3659
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.0295112725198031,0.003,0.09,0.14,3659
"HALLMARK_P53_PATHWAY",0.0110869208363707,0.122,0.586875,1,3659
"HALLMARK_PANCREAS_BETA_CELLS",-0.00271342038217974,0.594,0.788495575221239,1,3659
"HALLMARK_PEROXISOME",0.00565021356764873,0.276,0.586875,1,3659
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",-0.0070288635470758,0.765,0.90234375,1,3659
"HALLMARK_PROTEIN_SECRETION",-0.00722397896749542,0.77,0.90234375,1,3659
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.00596113350124654,0.27,0.586875,1,3659
"HALLMARK_SPERMATOGENESIS",-0.00948464957982848,0.828,0.925367647058824,1,3659
"HALLMARK_TGF_BETA_SIGNALING",-0.0121476482187704,0.898,0.927739726027397,1,3659
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.0213805957030544,0.011,0.183333333333333,0.834,3659
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",-0.00235059417419442,0.592,0.788495575221239,1,3659
"HALLMARK_UV_RESPONSE_DN",-0.00916153812041625,0.82,0.924812030075188,1,3659
"HALLMARK_UV_RESPONSE_UP",0.0173365069449102,0.028,0.29,0.994,3659
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.00619974668523677,0.226,0.586875,1,3659
"HALLMARK_XENOBIOTIC_METABOLISM",0.0275616375633362,0.002,0.075,0.248,3659
"SVP_MATCH__HALLMARK_ADIPOGENESIS__1",-0.00233905216035123,0.586,0.788495575221239,1,3659
"SVP_MATCH__HALLMARK_ADIPOGENESIS__2",0.00505119182741774,0.299,0.586875,1,3659
"SVP_MATCH__HALLMARK_ALLOGRAFT_REJECTION__1",-0.0144997498262234,0.944,0.950335570469799,1,3659
"SVP_MATCH__HALLMARK_ALLOGRAFT_REJECTION__2",0.0135955607347796,0.071,0.409615384615385,1,3659
"SVP_MATCH__HALLMARK_ANDROGEN_RESPONSE__1",-0.00994256363607716,0.862,0.927739726027397,1,3659
"SVP_MATCH__HALLMARK_ANDROGEN_RESPONSE__2",0.0203032297929372,0.015,0.204545454545455,0.898,3659
"SVP_MATCH__HALLMARK_ANGIOGENESIS__1",-0.00241870687202489,0.589,0.788495575221239,1,3659
"SVP_MATCH__HALLMARK_ANGIOGENESIS__2",0.00420293275186524,0.307,0.586875,1,3659
"SVP_MATCH__HALLMARK_APICAL_JUNCTION__1",-0.00151407296542576,0.53,0.774519230769231,1,3659
"SVP_MATCH__HALLMARK_APICAL_JUNCTION__2",0.00869384530332773,0.168,0.586875,1,3659
"SVP_MATCH__HALLMARK_APICAL_SURFACE__1",0.00843741408186515,0.189,0.586875,1,3659
"SVP_MATCH__HALLMARK_APICAL_SURFACE__2",0.00603086298939288,0.244,0.586875,1,3659
"SVP_MATCH__HALLMARK_APOPTOSIS__1",-0.000866713603860072,0.503,0.7545,1,3659
"SVP_MATCH__HALLMARK_APOPTOSIS__2",-0.0109978830830347,0.885,0.927739726027397,1,3659
"SVP_MATCH__HALLMARK_BILE_ACID_METABOLISM__1",0.00412523788357246,0.292,0.586875,1,3659
"SVP_MATCH__HALLMARK_BILE_ACID_METABOLISM__2",-0.0110600210149268,0.869,0.927739726027397,1,3659
"SVP_MATCH__HALLMARK_CHOLESTEROL_HOMEOSTASIS__1",0.0016663232242308,0.431,0.687765957446808,1,3659
"SVP_MATCH__HALLMARK_CHOLESTEROL_HOMEOSTASIS__2",0.000260102743348479,0.457,0.721578947368421,1,3659
"SVP_MATCH__HALLMARK_COAGULATION__1",-0.0132564207320128,0.903,0.927739726027397,1,3659
