"pathway","stat","p_perm","p_adj_BH","p_adj_wy","n_spots"
"HALLMARK_ADIPOGENESIS",0.0750784791095611,0.001,0.00277777777777778,0.001,3659
"HALLMARK_ALLOGRAFT_REJECTION",0.0692137778457568,0.001,0.00277777777777778,0.001,3659
"HALLMARK_ANDROGEN_RESPONSE",0.0748068447861578,0.001,0.00277777777777778,0.001,3659
"HALLMARK_ANGIOGENESIS",0.0610039755729166,0.001,0.00277777777777778,0.001,3659
"HALLMARK_APICAL_JUNCTION",0.0471758041276723,0.001,0.00277777777777778,0.002,3659
"HALLMARK_APICAL_SURFACE",-0.00295513286435569,0.598,0.614383561643836,1,3659
"HALLMARK_APOPTOSIS",0.0633482356139366,0.001,0.00277777777777778,0.001,3659
"HALLMARK_BILE_ACID_METABOLISM",0.0208808107682852,0.012,0.0225,0.858,3659
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.0398421030193872,0.001,0.00277777777777778,0.007,3659
"HALLMARK_COAGULATION",0.0917819169437032,0.001,0.00277777777777778,0.001,3659
"HALLMARK_COMPLEMENT",0.0526363523240533,0.001,0.00277777777777778,0.001,3659
"HALLMARK_DNA_REPAIR",0.0225481731057262,0.014,0.0253012048192771,0.725,3659
"HALLMARK_E2F_TARGETS",0.0299182369382876,0.002,0.00491803278688525,0.117,3659
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.172816080417536,0.001,0.00277777777777778,0.001,3659
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.158953121099559,0.001,0.00277777777777778,0.001,3659
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.101607457134048,0.001,0.00277777777777778,0.001,3659
"HALLMARK_FATTY_ACID_METABOLISM",0.0555631944873532,0.001,0.00277777777777778,0.001,3659
"HALLMARK_G2M_CHECKPOINT",0.0382457817717529,0.001,0.00277777777777778,0.008,3659
"HALLMARK_GLYCOLYSIS",0.0574624556308266,0.001,0.00277777777777778,0.001,3659
"HALLMARK_HEDGEHOG_SIGNALING",0.020464416540176,0.02,0.0337078651685393,0.883,3659
"HALLMARK_HEME_METABOLISM",0.0383470705018167,0.001,0.00277777777777778,0.008,3659
"HALLMARK_HYPOXIA",0.0589576697945898,0.001,0.00277777777777778,0.001,3659
"HALLMARK_IL2_STAT5_SIGNALING",0.0420648318662605,0.001,0.00277777777777778,0.003,3659
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.0333051791770931,0.001,0.00277777777777778,0.041,3659
"HALLMARK_INFLAMMATORY_RESPONSE",0.0256980171753189,0.003,0.00681818181818182,0.384,3659
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.117276982504428,0.001,0.00277777777777778,0.001,3659
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.129453656286745,0.001,0.00277777777777778,0.001,3659
"HALLMARK_KRAS_SIGNALING_DN",0.0100265192684092,0.129,0.158606557377049,1,3659
"HALLMARK_KRAS_SIGNALING_UP",0.0422792164640853,0.001,0.00277777777777778,0.003,3659
"HALLMARK_MITOTIC_SPINDLE",0.0602940814235946,0.001,0.00277777777777778,0.001,3659
"HALLMARK_MTORC1_SIGNALING",0.0509287732380372,0.001,0.00277777777777778,0.001,3659
"HALLMARK_MYC_TARGETS_V1",0.0665864711464228,0.001,0.00277777777777778,0.001,3659
"HALLMARK_MYC_TARGETS_V2",0.0356422020985372,0.002,0.00491803278688525,0.019,3659
"HALLMARK_MYOGENESIS",0.0748934875383225,0.001,0.00277777777777778,0.001,3659
"HALLMARK_NOTCH_SIGNALING",-0.00396647868608394,0.679,0.688175675675676,1,3659
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.134634105626077,0.001,0.00277777777777778,0.001,3659
"HALLMARK_P53_PATHWAY",0.070363556931596,0.001,0.00277777777777778,0.001,3659
"HALLMARK_PANCREAS_BETA_CELLS",0.00862357215966776,0.177,0.207421875,1,3659
"HALLMARK_PEROXISOME",0.0280307946067552,0.003,0.00681818181818182,0.221,3659
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.0109343277781803,0.096,0.123076923076923,1,3659
"HALLMARK_PROTEIN_SECRETION",0.0181233597058877,0.025,0.0412087912087912,0.976,3659
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.0225621570079898,0.013,0.023780487804878,0.722,3659
"HALLMARK_SPERMATOGENESIS",0.000270320790540694,0.479,0.505985915492958,1,3659
"HALLMARK_TGF_BETA_SIGNALING",0.0127413744537893,0.079,0.104867256637168,1,3659
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.0702051552295555,0.001,0.00277777777777778,0.001,3659
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.0413375597864132,0.001,0.00277777777777778,0.004,3659
"HALLMARK_UV_RESPONSE_DN",0.0434180080727926,0.001,0.00277777777777778,0.003,3659
"HALLMARK_UV_RESPONSE_UP",0.0288697382597011,0.001,0.00277777777777778,0.164,3659
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.0147293207428231,0.047,0.0705,0.999,3659
"HALLMARK_XENOBIOTIC_METABOLISM",0.0738097600706126,0.001,0.00277777777777778,0.001,3659
"SVP_MATCH__HALLMARK_ADIPOGENESIS__1",0.0289302784982087,0.004,0.00857142857142857,0.16,3659
"SVP_MATCH__HALLMARK_ADIPOGENESIS__2",0.0322472103776667,0.001,0.00277777777777778,0.061,3659
"SVP_MATCH__HALLMARK_ALLOGRAFT_REJECTION__1",0.00120196556675797,0.434,0.467142857142857,1,3659
