"pathway","stat","p_perm","p_adj_BH","p_adj_wy","n_spots"
"HALLMARK_ADIPOGENESIS",0.441178431813312,0.001,0.001,0.001,3636
"HALLMARK_ALLOGRAFT_REJECTION",0.135096144998831,0.001,0.001,0.001,3636
"HALLMARK_ANDROGEN_RESPONSE",0.245717903131953,0.001,0.001,0.001,3636
"HALLMARK_ANGIOGENESIS",0.10194580787586,0.001,0.001,0.001,3636
"HALLMARK_APICAL_JUNCTION",0.288311499350068,0.001,0.001,0.001,3636
"HALLMARK_APICAL_SURFACE",0.0623589770127579,0.001,0.001,0.001,3636
"HALLMARK_APOPTOSIS",0.238304988879588,0.001,0.001,0.001,3636
"HALLMARK_BILE_ACID_METABOLISM",0.212280967531394,0.001,0.001,0.001,3636
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.208235075535312,0.001,0.001,0.001,3636
"HALLMARK_COAGULATION",0.247080631917293,0.001,0.001,0.001,3636
"HALLMARK_COMPLEMENT",0.239372278344597,0.001,0.001,0.001,3636
"HALLMARK_DNA_REPAIR",0.302522796766907,0.001,0.001,0.001,3636
"HALLMARK_E2F_TARGETS",0.24592266013715,0.001,0.001,0.001,3636
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.264213153464743,0.001,0.001,0.001,3636
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.290495603411977,0.001,0.001,0.001,3636
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.278050206500212,0.001,0.001,0.001,3636
"HALLMARK_FATTY_ACID_METABOLISM",0.355750461390597,0.001,0.001,0.001,3636
"HALLMARK_G2M_CHECKPOINT",0.252062151354528,0.001,0.001,0.001,3636
"HALLMARK_GLYCOLYSIS",0.344947107135043,0.001,0.001,0.001,3636
"HALLMARK_HEDGEHOG_SIGNALING",0.2550097657504,0.001,0.001,0.001,3636
"HALLMARK_HEME_METABOLISM",0.311406465165295,0.001,0.001,0.001,3636
"HALLMARK_HYPOXIA",0.298306452626245,0.001,0.001,0.001,3636
"HALLMARK_IL2_STAT5_SIGNALING",0.259523294112567,0.001,0.001,0.001,3636
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.0981039846203448,0.001,0.001,0.001,3636
"HALLMARK_INFLAMMATORY_RESPONSE",0.173654111175321,0.001,0.001,0.001,3636
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.25683255524779,0.001,0.001,0.001,3636
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.231843320451127,0.001,0.001,0.001,3636
"HALLMARK_KRAS_SIGNALING_DN",0.235634240966032,0.001,0.001,0.001,3636
"HALLMARK_KRAS_SIGNALING_UP",0.19293930155065,0.001,0.001,0.001,3636
"HALLMARK_MITOTIC_SPINDLE",0.30978526795948,0.001,0.001,0.001,3636
"HALLMARK_MTORC1_SIGNALING",0.394549072413038,0.001,0.001,0.001,3636
"HALLMARK_MYC_TARGETS_V1",0.455082742801495,0.001,0.001,0.001,3636
"HALLMARK_MYC_TARGETS_V2",0.148665913116102,0.001,0.001,0.001,3636
"HALLMARK_MYOGENESIS",0.287812130836975,0.001,0.001,0.001,3636
"HALLMARK_NOTCH_SIGNALING",0.0751908887498156,0.001,0.001,0.001,3636
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.631208384233466,0.001,0.001,0.001,3636
"HALLMARK_P53_PATHWAY",0.283361171964516,0.001,0.001,0.001,3636
"HALLMARK_PANCREAS_BETA_CELLS",0.190937938979871,0.001,0.001,0.001,3636
"HALLMARK_PEROXISOME",0.232410908952756,0.001,0.001,0.001,3636
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.361399575685329,0.001,0.001,0.001,3636
"HALLMARK_PROTEIN_SECRETION",0.31120988228887,0.001,0.001,0.001,3636
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.252043614057027,0.001,0.001,0.001,3636
"HALLMARK_SPERMATOGENESIS",0.208399925639071,0.001,0.001,0.001,3636
"HALLMARK_TGF_BETA_SIGNALING",0.113308804102374,0.001,0.001,0.001,3636
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.200382155446316,0.001,0.001,0.001,3636
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.302034950749208,0.001,0.001,0.001,3636
"HALLMARK_UV_RESPONSE_DN",0.272332337367663,0.001,0.001,0.001,3636
"HALLMARK_UV_RESPONSE_UP",0.330522083667691,0.001,0.001,0.001,3636
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.0885788873116565,0.001,0.001,0.001,3636
"HALLMARK_XENOBIOTIC_METABOLISM",0.287722156282567,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_ADIPOGENESIS__1",0.403082635902273,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_ADIPOGENESIS__2",0.404257142823886,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_ALLOGRAFT_REJECTION__1",0.246787157790092,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_ALLOGRAFT_REJECTION__2",0.260884948689424,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_ANDROGEN_RESPONSE__1",0.303835067102718,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_ANDROGEN_RESPONSE__2",0.353249026505888,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_ANGIOGENESIS__1",0.0902702396284825,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_ANGIOGENESIS__2",0.0888901115510817,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_APICAL_JUNCTION__1",0.299929484544854,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_APICAL_JUNCTION__2",0.323838685965763,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_APICAL_SURFACE__1",0.0996759955254847,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_APICAL_SURFACE__2",0.106340871353135,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_APOPTOSIS__1",0.335255003185498,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_APOPTOSIS__2",0.312654654464448,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_BILE_ACID_METABOLISM__1",0.180521523032845,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_BILE_ACID_METABOLISM__2",0.168941781933974,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_CHOLESTEROL_HOMEOSTASIS__1",0.2355817832822,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_CHOLESTEROL_HOMEOSTASIS__2",0.22318027861317,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_COAGULATION__1",0.238923615953522,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_COAGULATION__2",0.252762427519826,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_COMPLEMENT__1",0.317436860307129,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_COMPLEMENT__2",0.298448301870224,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_DNA_REPAIR__1",0.280556529813455,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_DNA_REPAIR__2",0.331712424295411,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_E2F_TARGETS__1",0.23068955126982,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_E2F_TARGETS__2",0.276313397907234,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION__1",0.293267377921854,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION__2",0.274303451841103,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_ESTROGEN_RESPONSE_EARLY__1",0.294901347575747,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_ESTROGEN_RESPONSE_EARLY__2",0.319106793203931,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_ESTROGEN_RESPONSE_LATE__1",0.334205149281883,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_ESTROGEN_RESPONSE_LATE__2",0.307503679594923,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_FATTY_ACID_METABOLISM__1",0.385043577030432,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_FATTY_ACID_METABOLISM__2",0.330396884448896,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_G2M_CHECKPOINT__1",0.285546905737729,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_G2M_CHECKPOINT__2",0.303822776027766,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_GLYCOLYSIS__1",0.33664989756484,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_GLYCOLYSIS__2",0.349434806436754,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_HEDGEHOG_SIGNALING__1",0.152691943262015,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_HEDGEHOG_SIGNALING__2",0.169374848065276,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_HEME_METABOLISM__1",0.328888909343257,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_HEME_METABOLISM__2",0.319296490976945,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_HYPOXIA__1",0.342091484796506,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_HYPOXIA__2",0.378126245968909,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_IL2_STAT5_SIGNALING__1",0.263370542263209,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_IL2_STAT5_SIGNALING__2",0.245838653090881,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_IL6_JAK_STAT3_SIGNALING__1",0.0818710571168361,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_IL6_JAK_STAT3_SIGNALING__2",0.0964316292837422,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_INFLAMMATORY_RESPONSE__1",0.189194498998573,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_INFLAMMATORY_RESPONSE__2",0.18791774335076,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_INTERFERON_ALPHA_RESPONSE__1",0.157527557937232,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_INTERFERON_ALPHA_RESPONSE__2",0.158322534952835,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_INTERFERON_GAMMA_RESPONSE__1",0.187868747667169,0.001,0.001,0.001,3636
"SVP_MATCH__HALLMARK_INTERFERON_GAMMA_RESPONSE__2",0.226216953445041,0.001,0.001,0.001,3636
